,X,Date,Cloud,Disc,Humidity,MaxTemp,MinTemp,Pressure,Rain,WindDir,WindSpeed,Failure.Rate,Temp,Total_Failures,Water_Failures,Heat_Failures,NA_Failures,Ferrule_Failures,Excessive Heat,PLIC Joint Failures,,
1,1,1/1/2016,4,Sunny,57,28,22,1018,0,ESE,13,0,24.1,0,0,0,0,0,0,0,,
2,2,1/2/2016,4,Sunny,63,28,22,1017,0,SSE,13,0,25,0,0,0,0,0,0,0,,18
3,3,1/3/2016,32,Moderate or heavy rain shower,65,23,20,1017,7.9,WSW,22,0,21,0,0,0,0.055555555555556,0,0,0,,
4,4,1/4/2016,27,Patchy rain possible,63,23,19,1018,0,WSW,14,0,19.6,0,0,0,0.111111111111111,0,0,0,,
5,5,1/5/2016,19,Partly cloudy,55,23,20,1019,0,WSW,15,0,19.6,0,0,0,0.055555555555556,0,0,0,,
6,6,1/6/2016,8,Sunny,55,24,21,1018,0,W,22,2,20.9,0.111111111111111,0.055555555555556,0.055555555555556,0.166666666666667,0,0,0.055555555555556,,
7,7,1/7/2016,5,Sunny,58,23,20,1019,0,W,14,0,20.2,0,0,0,0.111111111111111,0,0,0,,
8,8,1/8/2016,0,Sunny,57,24,21,1020,0,WSW,8,1,20.5,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
9,9,1/9/2016,3,Sunny,57,25,21,1017,0,SSW,9,0,21.4,0,0,0,0.222222222222222,0,0,0,,
10,10,1/10/2016,27,Partly cloudy,57,25,20,1016,0,SW,12,0,22.5,0,0,0,0.055555555555556,0,0,0,,
11,11,1/11/2016,3,Sunny,64,22,20,1019,0,WNW,12,0,21.2,0,0,0,0.055555555555556,0,0,0,,
12,12,1/12/2016,5,Partly cloudy,61,24,18,1018,0,SW,7,1,20.1,0.055555555555556,0.055555555555556,0,0,0,0,0,,
13,13,1/13/2016,44,Patchy light rain,68,21,20,1017,1.6,WSW,15,1,20.6,0.055555555555556,0.055555555555556,0,0,0,0,0,,
14,14,1/14/2016,23,Partly cloudy,65,22,19,1017,0,W,11,1,19.8,0.055555555555556,0,0.055555555555556,0.111111111111111,0,0.055555555555556,0,,
15,15,1/15/2016,0,Sunny,60,23,20,1017,0,W,8,0,19.6,0,0,0,0,0,0,0,,
16,16,1/16/2016,0,Sunny,60,23,20,1016,0,W,10,0,19.4,0,0,0,0,0,0,0,,
17,17,1/17/2016,2,Sunny,65,25,19,1015,0,SW,11,0,20.1,0,0,0,0.111111111111111,0,0,0,,
18,18,1/18/2016,0,Sunny,49,26,20,1016,0,NE,14,1,21.6,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
19,19,1/19/2016,0,Sunny,38,27,20,1016,0,ENE,9,0,21.9,0,0,0,0,0,0,0,,
20,20,1/20/2016,0,Sunny,45,26,22,1018,0,SW,8,0,21.1,0,0,0,0.055555555555556,0,0,0,,
21,21,1/21/2016,0,Sunny,52,24,21,1020,0,SW,7,1,20.8,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
22,22,1/22/2016,6,Sunny,64,24,21,1019,0,W,8,0,20.7,0,0,0,0.055555555555556,0,0,0,,
23,23,1/23/2016,8,Sunny,64,24,19,1018,0,WSW,7,0,19.9,0,0,0,0,0,0,0,,
24,24,1/24/2016,7,Sunny,54,25,20,1017,0,S,9,1,21.6,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
25,25,1/25/2016,5,Sunny,45,27,21,1015,0,SSW,10,0,22.5,0,0,0,0.111111111111111,0,0,0,,
26,26,1/26/2016,16,Partly cloudy,60,24,21,1015,0,W,13,0,21.6,0,0,0,0,0,0,0,,
27,27,1/27/2016,27,Partly cloudy,54,25,21,1014,0,W,9,0,22.1,0,0,0,0,0,0,0,,
28,28,1/28/2016,25,Partly cloudy,54,23,21,1016,0,WNW,21,0,21.7,0,0,0,0,0,0,0,,
29,29,1/29/2016,18,Partly cloudy,58,19,18,1020,0.3,WNW,30,0,18.4,0,0,0,0.055555555555556,0,0,0,,
30,30,1/30/2016,71,Light rain shower,65,19,17,1022,1.8,W,23,0,18.3,0,0,0,0.166666666666667,0,0,0,,
31,31,1/31/2016,22,Partly cloudy,56,22,18,1022,0,WNW,13,0,18.5,0,0,0,0.055555555555556,0,0,0,,
32,32,2/1/2016,0,Sunny,51,22,19,1021,0,WNW,11,0,18.8,0,0,0,0.111111111111111,0,0,0,,
33,33,2/2/2016,0,Sunny,57,22,18,1020,0,W,9,2,18.4,0.111111111111111,0.111111111111111,0,0.166666666666667,0,0,0,,
34,34,2/3/2016,1,Sunny,58,22,19,1019,0,WSW,9,0,18.9,0,0,0,0.111111111111111,0,0,0,,
35,35,2/4/2016,3,Sunny,53,24,20,1019,0,WNW,15,2,20.4,0.111111111111111,0.111111111111111,0,0.166666666666667,0,0,0,,
36,36,2/5/2016,0,Sunny,47,24,19,1022,0,S,11,0,20.4,0,0,0,0.222222222222222,0,0,0,,
37,37,2/6/2016,0,Sunny,49,24,19,1018,0,NW,10,0,19.7,0,0,0,0.055555555555556,0,0,0,,
38,38,2/7/2016,0,Sunny,50,24,19,1016,0,W,7,0,19.7,0,0,0,0.166666666666667,0,0,0,,
39,39,2/8/2016,1,Sunny,43,25,20,1016,0,SSE,9,0,21.7,0,0,0,0,0,0,0,,
40,40,2/9/2016,5,Sunny,49,23,20,1016,0,WSW,18,1,20.1,0.055555555555556,0.055555555555556,0,0.166666666666667,0,0,0,,
41,41,2/10/2016,0,Sunny,58,22,18,1017,0,W,11,0,19.8,0,0,0,0.055555555555556,0,0,0,,
42,42,2/11/2016,4,Sunny,62,22,19,1015,0,W,12,2,20,0.111111111111111,0.055555555555556,0.055555555555556,0,0,0,0.055555555555556,,
43,43,2/12/2016,1,Sunny,62,22,19,1016,0,W,22,0,20.1,0,0,0,0.277777777777778,0,0,0,,
44,44,2/13/2016,7,Sunny,64,23,18,1018,0,W,10,1,19.5,0.055555555555556,0,0.055555555555556,0.277777777777778,0,0,0.055555555555556,,
45,45,2/14/2016,3,Sunny,65,23,19,1018,0,W,9,1,20.1,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
46,46,2/15/2016,1,Sunny,65,23,20,1019,0,W,9,1,20.4,0.055555555555556,0.055555555555556,0,0.166666666666667,0,0,0,,
47,47,2/16/2016,1,Sunny,62,23,20,1018,0,W,8,1,20,0.055555555555556,0.055555555555556,0,0,0,0,0,,
48,48,2/17/2016,8,Patchy light rain with thunder,61,24,19,1018,2.7,E,8,1,19.9,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
49,49,2/18/2016,10,Sunny,52,24,20,1017,0,SSE,13,0,21.3,0,0,0,0.055555555555556,0,0,0,,
50,50,2/19/2016,0,Sunny,60,24,21,1019,0,WNW,11,1,20.5,0.055555555555556,0,0.055555555555556,0.166666666666667,0,0,0.055555555555556,,
51,51,2/20/2016,0,Sunny,52,24,19,1019,0,WSW,10,0,20.8,0,0,0,0,0,0,0,,
52,52,2/21/2016,0,Sunny,51,26,20,1018,0,WSW,7,1,22.1,0.055555555555556,0.055555555555556,0,0,0,0,0,,
53,53,2/22/2016,0,Sunny,48,29,21,1017,0,NE,11,0,24.3,0,0,0,0.055555555555556,0,0,0,,
54,54,2/23/2016,6,Partly cloudy,38,29,23,1016,0.1,ENE,11,0,25.8,0,0,0,0.055555555555556,0,0,0,,
55,55,2/24/2016,20,Patchy rain possible,44,29,25,1014,2.8,SW,8,2,27.5,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
56,56,2/25/2016,5,Patchy light rain with thunder,62,27,23,1013,1.9,W,14,0,24.2,0,0,0,0.166666666666667,0,0,0,,
