Date,Failure.Rate,Temp,Cloud,Disc,Humidity,MaxTemp,MinTemp,Pressure,Rain,WindDir,WindSpeed,
1/1/2016,0,24.1,4,Sunny,57,28,22,1018,0,ESE,13,
1/2/2016,0,25,4,Sunny,63,28,22,1017,0,SSE,13,
1/3/2016,0.055555555555556,21,32,Moderate or heavy rain shower,65,23,20,1017,7.9,WSW,22,
1/4/2016,0.111111111111111,19.6,27,Patchy rain possible,63,23,19,1018,0,WSW,14,
1/5/2016,0.055555555555556,19.6,19,Partly cloudy,55,23,20,1019,0,WSW,15,
1/6/2016,0.333333333333333,20.9,8,Sunny,55,24,21,1018,0,W,22,
1/7/2016,0.111111111111111,20.2,5,Sunny,58,23,20,1019,0,W,14,
1/8/2016,0.055555555555556,20.5,0,Sunny,57,24,21,1020,0,WSW,8,
1/9/2016,0.222222222222222,21.4,3,Sunny,57,25,21,1017,0,SSW,9,
1/10/2016,0.055555555555556,22.5,27,Partly cloudy,57,25,20,1016,0,SW,12,
1/11/2016,0.055555555555556,21.2,3,Sunny,64,22,20,1019,0,WNW,12,
1/12/2016,0.111111111111111,20.1,5,Partly cloudy,61,24,18,1018,0,SW,7,
1/13/2016,0.055555555555556,20.6,44,Patchy light rain,68,21,20,1017,1.6,WSW,15,
1/14/2016,0.166666666666667,19.8,23,Partly cloudy,65,22,19,1017,0,W,11,
1/15/2016,0,19.6,0,Sunny,60,23,20,1017,0,W,8,
1/16/2016,0,19.4,0,Sunny,60,23,20,1016,0,W,10,
1/17/2016,0.111111111111111,20.1,2,Sunny,65,25,19,1015,0,SW,11,
1/18/2016,0.111111111111111,21.6,0,Sunny,49,26,20,1016,0,NE,14,
1/19/2016,0,21.9,0,Sunny,38,27,20,1016,0,ENE,9,
1/20/2016,0.055555555555556,21.1,0,Sunny,45,26,22,1018,0,SW,8,
1/21/2016,0.055555555555556,20.8,0,Sunny,52,24,21,1020,0,SW,7,
1/22/2016,0.111111111111111,20.7,6,Sunny,64,24,21,1019,0,W,8,
1/23/2016,0,19.9,8,Sunny,64,24,19,1018,0,WSW,7,
1/24/2016,0.111111111111111,21.6,7,Sunny,54,25,20,1017,0,S,9,
1/25/2016,0.111111111111111,22.5,5,Sunny,45,27,21,1015,0,SSW,10,
1/26/2016,0,21.6,16,Partly cloudy,60,24,21,1015,0,W,13,
1/27/2016,0,22.1,27,Partly cloudy,54,25,21,1014,0,W,9,
1/28/2016,0,21.7,25,Partly cloudy,54,23,21,1016,0,WNW,21,
1/29/2016,0.111111111111111,18.4,18,Partly cloudy,58,19,18,1020,0.3,WNW,30,
1/30/2016,0.166666666666667,18.3,71,Light rain shower,65,19,17,1022,1.8,W,23,
1/31/2016,0.055555555555556,18.5,22,Partly cloudy,56,22,18,1022,0,WNW,13,
2/1/2016,0.111111111111111,18.8,0,Sunny,51,22,19,1021,0,WNW,11,
2/2/2016,0.277777777777778,18.4,0,Sunny,57,22,18,1020,0,W,9,
2/3/2016,0.166666666666667,18.9,1,Sunny,58,22,19,1019,0,WSW,9,
2/4/2016,0.277777777777778,20.4,3,Sunny,53,24,20,1019,0,WNW,15,
2/5/2016,0.222222222222222,20.4,0,Sunny,47,24,19,1022,0,S,11,
2/6/2016,0.111111111111111,19.7,0,Sunny,49,24,19,1018,0,NW,10,
2/7/2016,0.166666666666667,19.7,0,Sunny,50,24,19,1016,0,W,7,
2/8/2016,0,21.7,1,Sunny,43,25,20,1016,0,SSE,9,
2/9/2016,0.222222222222222,20.1,5,Sunny,49,23,20,1016,0,WSW,18,
2/10/2016,0.055555555555556,19.8,0,Sunny,58,22,18,1017,0,W,11,
2/11/2016,0.111111111111111,20,4,Sunny,62,22,19,1015,0,W,12,
2/12/2016,0.333333333333333,20.1,1,Sunny,62,22,19,1016,0,W,22,
2/13/2016,0.333333333333333,19.5,7,Sunny,64,23,18,1018,0,W,10,
2/14/2016,0.111111111111111,20.1,3,Sunny,65,23,19,1018,0,W,9,
2/15/2016,0.277777777777778,20.4,1,Sunny,65,23,20,1019,0,W,9,
2/16/2016,0.166666666666667,20,1,Sunny,62,23,20,1018,0,W,8,
2/17/2016,0.111111111111111,19.9,8,Patchy light rain with thunder,61,24,19,1018,2.7,E,8,
2/18/2016,0.111111111111111,21.3,10,Sunny,52,24,20,1017,0,SSE,13,
2/19/2016,0.222222222222222,20.5,0,Sunny,60,24,21,1019,0,WNW,11,
2/20/2016,0,20.8,0,Sunny,52,24,19,1019,0,WSW,10,
2/21/2016,0.055555555555556,22.1,0,Sunny,51,26,20,1018,0,WSW,7,
2/22/2016,0.055555555555556,24.3,0,Sunny,48,29,21,1017,0,NE,11,
2/23/2016,0.111111111111111,25.8,6,Partly cloudy,38,29,23,1016,0.1,ENE,11,
2/24/2016,0.166666666666667,27.5,20,Patchy rain possible,44,29,25,1014,2.8,SW,8,
2/25/2016,0.222222222222222,24.2,5,Patchy light rain with thunder,62,27,23,1013,1.9,W,14,
2/26/2016,0.055555555555556,22.4,10,Patchy rain possible,63,26,21,1016,1.1,W,11,x
2/27/2016,0,24.6,7,Sunny,56,27,22,1017,0,WNW,9,
2/28/2016,0,25.6,17,Light rain shower,56,28,24,1017,1.7,WSW,9,
2/29/2016,0.055555555555556,25.1,27,Partly cloudy,54,27,24,1016,0,SSW,11,
3/1/2016,0.055555555555556,22.3,2,Sunny,65,25,22,1015,0,W,18,
3/2/2016,0.111111111111111,21.6,0,Sunny,53,25,21,1014,0,SW,9,
3/3/2016,0.388888888888889,24.2,2,Sunny,52,27,21,1015,0,ENE,16,
3/4/2016,0,24.4,22,Partly cloudy,57,27,22,1015,0,E,12,
3/5/2016,0.166666666666667,25.1,12,Patchy rain possible,55,28,23,1012,0.4,SSE,11,
3/6/2016,0.166666666666667,25.2,6,Sunny,54,28,24,1010,0,SSE,10,
3/7/2016,0,25.1,13,Patchy rain possible,57,28,24,1011,1.7,SSW,11,
3/8/2016,0.111111111111111,24.4,18,Patchy light rain with thunder,59,28,24,1011,5.7,SE,8,
3/9/2016,0.5,21.3,38,Moderate or heavy rain shower,66,27,24,1011,8.9,SSE,11,
3/10/2016,0.5,22.9,13,Patchy rain possible,67,25,22,1012,0.2,W,13,
3/11/2016,0.277777777777778,22.3,7,Partly cloudy,63,26,22,1014,0,WSW,12,
3/12/2016,0.222222222222222,24.1,5,Patchy rain possible,52,27,22,1012,0.4,WSW,10,
3/13/2016,0.222222222222222,24.1,4,Sunny,57,28,23,1012,0,WSW,15,
3/14/2016,0.222222222222222,24.1,17,Patchy rain possible,57,27,23,1012,0.4,WSW,15,
3/15/2016,0.333333333333333,26.1,23,Sunny,60,28,24,1011,0,SW,11,
3/16/2016,0.277777777777778,25.2,38,Partly cloudy,57,27,25,1012,0.4,WNW,17,
3/17/2016,0.055555555555556,24.4,56,Partly cloudy,52,28,25,1012,0.6,W,17,
3/18/2016,0.111111111111111,24.4,12,Partly cloudy,51,27,23,1013,0.1,W,21,
3/19/2016,0,23.6,5,Sunny,52,27,23,1014,0,W,21,
3/20/2016,0.166666666666667,23.6,2,Sunny,54,27,23,1015,0,WSW,17,
3/21/2016,0.277777777777778,26.5,4,Sunny,50,28,23,1014,0,WNW,7,
3/22/2016,0.166666666666667,24.4,46,Light rain shower,60,27,23,1013,4,SSW,24,
3/23/2016,0.222222222222222,24.4,7,Patchy light rain with thunder,64,26,24,1013,1.3,W,15,
3/24/2016,0.277777777777778,23.2,0,Sunny,52,26,22,1016,0,W,16,
3/25/2016,0.055555555555556,23.1,3,Sunny,52,27,24,1018,0,SW,9,
3/26/2016,0.111111111111111,25.2,2,Sunny,53,28,24,1016,0,S,10,
3/27/2016,0,26.9,21,Cloudy,45,31,25,1014,0,SSE,11,
3/28/2016,0.111111111111111,29.3,32,Cloudy,39,32,27,1012,1.9,SE,15,
3/29/2016,0,30.9,7,Patchy rain possible,45,33,27,1011,1.1,SE,12,
3/30/2016,0.166666666666667,29.2,13,Sunny,51,32,26,1010,0,SW,24,
3/31/2016,0.111111111111111,26.8,50,Partly cloudy,67,29,25,1011,0,WNW,14,
4/1/2016,0.055555555555556,21.6,60,Light drizzle,60,25,23,1012,1.7,W,22,
4/2/2016,0.055555555555556,22.7,37,Cloudy,49,25,23,1014,0,W,27,
4/3/2016,0,22.4,13,Partly cloudy,49,25,22,1016,0,W,16,
4/4/2016,0,21.6,58,Cloudy,49,25,22,1014,0,W,18,
4/5/2016,0.055555555555556,23.2,4,Sunny,53,27,22,1011,0,WSW,18,
4/6/2016,0.222222222222222,26.4,4,Sunny,53,28,23,1011,0,W,9,
4/7/2016,0.222222222222222,28.3,6,Sunny,47,30,25,1010,0.2,WSW,8,
4/8/2016,0.111111111111111,28.7,18,Partly cloudy,51,30,26,1009,0,WSW,10,
4/9/2016,0,27.4,3,Sunny,53,30,26,1010,0,WSW,15,
4/10/2016,0,27.4,1,Sunny,49,30,25,1013,0,WSW,12,
4/11/2016,0.166666666666667,27.5,0,Sunny,42,30,25,1012,0,W,9,
4/12/2016,0,29.3,3,Sunny,40,32,27,1010,0,SSW,11,
4/13/2016,0.111111111111111,30.2,28,Patchy rain possible,49,32,26,1009,0.1,SSW,15,
4/14/2016,0.222222222222222,29.2,51,Patchy rain possible,50,31,26,1009,0.1,SW,14,
4/15/2016,0.166666666666667,27.2,28,Patchy rain possible,50,31,25,1009,0,WSW,14,
4/16/2016,0.055555555555556,26.7,37,Patchy rain possible,45,32,25,1010,0,SW,12,
4/17/2016,0.166666666666667,24.7,16,Sunny,46,32,26,1009,0,SW,14,
4/18/2016,0.166666666666667,25.6,34,Patchy rain possible,50,32,26,1008,0,WSW,15,
4/19/2016,0.111111111111111,26.6,32,Patchy rain possible,50,31,26,1008,0,WSW,16,
4/20/2016,0.055555555555556,26.3,17,Patchy rain possible,50,31,25,1008,0,WSW,17,
4/21/2016,0.111111111111111,25.9,2,Sunny,52,30,25,1012,0,W,15,
4/22/2016,0.055555555555556,26.1,0,Sunny,53,30,25,1011,0,WSW,17,
4/23/2016,0.166666666666667,27.1,6,Sunny,50,31,25,1009,0,WSW,13,
4/24/2016,0.277777777777778,28.1,30,Partly cloudy,43,31,26,1007,1.9,SW,10,
4/25/2016,0.166666666666667,29.1,0,Sunny,43,31,28,1006,0,WSW,9,
4/26/2016,0.055555555555556,29.2,0,Sunny,43,33,28,1008,0,SSW,10,
4/27/2016,0.111111111111111,31.1,0,Sunny,40,35,28,1009,0,SW,12,
4/28/2016,0.333333333333333,33.7,6,Sunny,36,36,29,1008,0,SSW,10,
4/29/2016,0.166666666666667,33.9,25,Partly cloudy,37,35,29,1007,0,SW,12,
4/30/2016,0.111111111111111,32.5,26,Partly cloudy,35,35,30,1007,0,WSW,13,
5/1/2016,0.055555555555556,28.3,3,Sunny,56,31,28,1008,0,W,20,
